,date,economic_support_index
35425,2020-12-19,62.5
35426,2020-12-20,62.5
35427,2020-12-21,62.5
35428,2020-12-22,62.5
35429,2020-12-23,62.5
35430,2020-12-24,62.5
35431,2020-12-25,62.5
35432,2020-12-26,62.5
35433,2020-12-27,62.5
35434,2020-12-28,62.5
35435,2020-12-29,62.5
35436,2020-12-30,62.5
35437,2020-12-31,62.5
35438,2021-01-01,62.5
35439,2021-01-02,62.5
35440,2021-01-03,62.5
35441,2021-01-04,62.5
35442,2021-01-05,62.5
35443,2021-01-06,62.5
35444,2021-01-07,62.5
35445,2021-01-08,62.5
35446,2021-01-09,62.5
35447,2021-01-10,62.5
35448,2021-01-11,62.5
35449,2021-01-12,62.5
35450,2021-01-13,62.5
35451,2021-01-14,62.5
35452,2021-01-15,62.5
35453,2021-01-16,62.5
35454,2021-01-17,62.5
35455,2021-01-18,62.5
35456,2021-01-19,62.5
35457,2021-01-20,62.5
35458,2021-01-21,62.5
35459,2021-01-22,62.5
35460,2021-01-23,62.5
35461,2021-01-24,62.5
35462,2021-01-25,62.5
35463,2021-01-26,62.5
35464,2021-01-27,62.5
35465,2021-01-28,62.5
35466,2021-01-29,62.5
35467,2021-01-30,62.5
35468,2021-01-31,62.5
35469,2021-02-01,62.5
35470,2021-02-02,62.5
35471,2021-02-03,62.5
35472,2021-02-04,62.5
35473,2021-02-05,62.5
35474,2021-02-06,62.5
35475,2021-02-07,62.5
35476,2021-02-08,62.5
35477,2021-02-09,62.5
35478,2021-02-10,62.5
35479,2021-02-11,62.5
35480,2021-02-12,62.5
35481,2021-02-13,62.5
35482,2021-02-14,62.5
35483,2021-02-15,62.5
35484,2021-02-16,62.5
35485,2021-02-17,62.5
35486,2021-02-18,62.5
35487,2021-02-19,62.5
35488,2021-02-20,62.5
35489,2021-02-21,62.5
35490,2021-02-22,62.5
35491,2021-02-23,62.5
35492,2021-02-24,62.5
35493,2021-02-25,62.5
35494,2021-02-26,62.5
35495,2021-02-27,62.5
35496,2021-02-28,62.5
35497,2021-03-01,62.5
35498,2021-03-02,62.5
35499,2021-03-03,62.5
35500,2021-03-04,62.5
35501,2021-03-05,62.5
