,country_name,date,school_closing_c1m,workplace_closing_c2m,public_events_cancel_c3m,restrictions_on_gatherings_c4m,public_transpor_closing_c5m,stay_home_requirement_c6m,restrictions_internal_movement_c7m,international_travel_controls_c8ev,income_support_e1,debt_contract_relief_e2,public_information_campaigns_h1,testing_policy_h2,contact_tracing_h3,vaccines_investment_h5,facial_coverings_h6m,vaccination_policy_h7,protection_elderly_people_h8m,vaccine_prioritisation_s_v1,vaccine_availabitlity_s_v2a,vaccine_financial_support_s_v3,confirmed_cases,confirmed_deaths,majority_vaccinated,population_vaccinated,stringency_index_average,goverment_response_index_average,containment_health_index_average,economic_support_index
83756,India,2021-04-05,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,12686049.0,165547.0,NV,0.76,69.91,68.28,78.04,0.0
83757,India,2021-04-06,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,12801785.0,166177.0,NV,0.79,69.91,68.28,78.04,0.0
83758,India,2021-04-07,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,12928574.0,166862.0,NV,0.81,69.91,68.28,78.04,0.0
83759,India,2021-04-08,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,13060542.0,167642.0,NV,0.84,69.91,68.28,78.04,0.0
83760,India,2021-04-09,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,13205926.0,168436.0,NV,0.87,69.91,68.28,78.04,0.0
83761,India,2021-04-10,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,13358805.0,169275.0,NV,0.9,69.91,68.28,78.04,0.0
83762,India,2021-04-11,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,13527717.0,170179.0,NV,0.91,69.91,68.28,78.04,0.0
83763,India,2021-04-12,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,13689453.0,171058.0,NV,0.95,69.91,68.28,78.04,0.0
83764,India,2021-04-13,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,13873825.0,172085.0,NV,0.98,69.91,68.28,78.04,0.0
83765,India,2021-04-14,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,14074564.0,173123.0,NV,1.01,69.91,68.28,78.04,0.0
83766,India,2021-04-15,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,14291917.0,174308.0,NV,1.05,69.91,68.28,78.04,0.0
83767,India,2021-04-16,3.0,2.0,2.0,4.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,3.0,1,1,4,14526609.0,175649.0,NV,1.1,69.91,68.28,78.04,0.0
